	Heit(m)	air(kg/m3)
318	318000.0	1.421e-11
319	319000.0	1.392e-11
320	320000.0	1.3629999999999999e-11
321	321000.0	1.334e-11
322	322000.0	1.306e-11
323	323000.0	1.279e-11
324	324000.0	1.253e-11
325	325000.0	1.227e-11
326	326000.0	1.201e-11
327	327000.0	1.177e-11
328	328000.0	1.152e-11
329	329000.0	1.129e-11
330	330000.0	1.106e-11
331	331000.0	1.083e-11
332	332000.0	1.061e-11
333	333000.0	1.039e-11
334	334000.0	1.018e-11
335	335000.0	9.974e-12
336	336000.0	9.772e-12
337	337000.0	9.574e-12
338	338000.0	9.381e-12
339	339000.0	9.191e-12
340	340000.0	9.006e-12
341	341000.0	8.825e-12
342	342000.0	8.648e-12
343	343000.0	8.475e-12
344	344000.0	8.305e-12
345	345000.0	8.139e-12
346	346000.0	7.977e-12
347	347000.0	7.818000000000001e-12
348	348000.0	7.663e-12
349	349000.0	7.51e-12
350	350000.0	7.361999999999999e-12
351	351000.0	7.216000000000001e-12
352	352000.0	7.074e-12
353	353000.0	6.934e-12
354	354000.0	6.798e-12
355	355000.0	6.664e-12
356	356000.0	6.5330000000000005e-12
357	357000.0	6.4049999999999995e-12
358	358000.0	6.28e-12
359	359000.0	6.157e-12
360	360000.0	6.037e-12
361	361000.0	5.919e-12
362	362000.0	5.804e-12
363	363000.0	5.691000000000001e-12
364	364000.0	5.581e-12
365	365000.0	5.473000000000001e-12
366	366000.0	5.367e-12
367	367000.0	5.264e-12
368	368000.0	5.162e-12
369	369000.0	5.063e-12
370	370000.0	4.965e-12
371	371000.0	4.87e-12
372	372000.0	4.777e-12
373	373000.0	4.685e-12
374	374000.0	4.595999999999999e-12
375	375000.0	4.508e-12
376	376000.0	4.4219999999999995e-12
377	377000.0	4.3379999999999995e-12
378	378000.0	4.255e-12
379	379000.0	4.1740000000000006e-12
380	380000.0	4.095e-12
381	381000.0	4.018e-12
382	382000.0	3.942e-12
383	383000.0	3.8669999999999996e-12
384	384000.0	3.793999999999999e-12
385	385000.0	3.723e-12
386	386000.0	3.653e-12
387	387000.0	3.5839999999999997e-12
388	388000.0	3.517e-12
389	389000.0	3.4509999999999997e-12
390	390000.0	3.3860000000000003e-12
391	391000.0	3.3230000000000003e-12
392	392000.0	3.261e-12
393	393000.0	3.2e-12
394	394000.0	3.141e-12
395	395000.0	3.082e-12
396	396000.0	3.025e-12
397	397000.0	2.969e-12
398	398000.0	2.914e-12
399	399000.0	2.86e-12
400	400000.0	2.807e-12
401	401000.0	2.755e-12
402	402000.0	2.704e-12
403	403000.0	2.6540000000000002e-12
404	404000.0	2.606e-12
405	405000.0	2.5580000000000002e-12
406	406000.0	2.511e-12
407	407000.0	2.465e-12
408	408000.0	2.4199999999999998e-12
409	409000.0	2.3750000000000003e-12
410	410000.0	2.332e-12
411	411000.0	2.289e-12
412	412000.0	2.2479999999999997e-12
413	413000.0	2.207e-12
414	414000.0	2.167e-12
415	415000.0	2.127e-12
416	416000.0	2.0889999999999997e-12
417	417000.0	2.051e-12
418	418000.0	2.014e-12
419	419000.0	1.977e-12
420	420000.0	1.942e-12
421	421000.0	1.907e-12
422	422000.0	1.872e-12
423	423000.0	1.838e-12
424	424000.0	1.8049999999999999e-12
425	425000.0	1.773e-12
426	426000.0	1.7410000000000002e-12
427	427000.0	1.71e-12
428	428000.0	1.679e-12
429	429000.0	1.649e-12
430	430000.0	1.6200000000000002e-12
431	431000.0	1.591e-12
432	432000.0	1.563e-12
433	433000.0	1.535e-12
434	434000.0	1.508e-12
435	435000.0	1.481e-12
436	436000.0	1.455e-12
437	437000.0	1.4289999999999999e-12
438	438000.0	1.4039999999999999e-12
439	439000.0	1.3789999999999999e-12
440	440000.0	1.3539999999999999e-12
441	441000.0	1.33e-12
442	442000.0	1.307e-12
443	443000.0	1.284e-12
444	444000.0	1.261e-12
445	445000.0	1.239e-12
446	446000.0	1.218e-12
447	447000.0	1.196e-12
448	448000.0	1.175e-12
449	449000.0	1.155e-12
450	450000.0	1.135e-12
451	451000.0	1.115e-12
452	452000.0	1.095e-12
453	453000.0	1.0759999999999999e-12
454	454000.0	1.058e-12
455	455000.0	1.039e-12
456	456000.0	1.021e-12
457	457000.0	1.004e-12
458	458000.0	9.861e-13
459	459000.0	9.691e-13
460	460000.0	9.524e-13
461	461000.0	9.359e-13
462	462000.0	9.198e-13
463	463000.0	9.040000000000001e-13
464	464000.0	8.884e-13
465	465000.0	8.732e-13
466	466000.0	8.582e-13
467	467000.0	8.435e-13
468	468000.0	8.291e-13
